timestamp,elapsed_seconds,dominant_emotion,confidence,all_emotions,face_box
2025-09-03T18:06:07.983216,15.6,neutral,0.65,"{'angry': 0.03, 'disgust': 0.0, 'fear': 0.03, 'happy': 0.21, 'sad': 0.08, 'surprise': 0.0, 'neutral': 0.65}","[307, 159, 174, 224]"
2025-09-03T18:06:08.153262,15.77,neutral,0.84,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.08, 'sad': 0.06, 'surprise': 0.0, 'neutral': 0.84}","[305, 162, 177, 225]"
2025-09-03T18:06:08.321469,15.94,neutral,0.87,"{'angry': 0.03, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.04, 'sad': 0.05, 'surprise': 0.0, 'neutral': 0.87}","[308, 150, 178, 227]"
2025-09-03T18:06:08.470575,16.09,neutral,0.85,"{'angry': 0.03, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.01, 'sad': 0.09, 'surprise': 0.0, 'neutral': 0.85}","[303, 147, 174, 214]"
2025-09-03T18:06:08.630551,16.25,neutral,0.76,"{'angry': 0.06, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.05, 'sad': 0.11, 'surprise': 0.0, 'neutral': 0.76}","[308, 148, 166, 209]"
2025-09-03T18:06:08.799882,16.42,neutral,0.91,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.0, 'sad': 0.05, 'surprise': 0.0, 'neutral': 0.91}","[308, 148, 162, 205]"
2025-09-03T18:06:08.954738,16.57,neutral,0.84,"{'angry': 0.03, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.03, 'sad': 0.09, 'surprise': 0.0, 'neutral': 0.84}","[307, 148, 164, 209]"
2025-09-03T18:06:09.108764,16.73,neutral,0.94,"{'angry': 0.01, 'disgust': 0.0, 'fear': 0.01, 'happy': 0.01, 'sad': 0.04, 'surprise': 0.0, 'neutral': 0.94}","[307, 167, 154, 199]"
2025-09-03T18:06:09.280234,16.9,neutral,0.82,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.02, 'happy': 0.01, 'sad': 0.13, 'surprise': 0.0, 'neutral': 0.82}","[309, 166, 159, 197]"
2025-09-03T18:06:09.434640,17.05,neutral,0.77,"{'angry': 0.04, 'disgust': 0.0, 'fear': 0.03, 'happy': 0.02, 'sad': 0.14, 'surprise': 0.0, 'neutral': 0.77}","[309, 167, 161, 205]"
